 ;Jméno;Příjmení;Smlouva;Pozice;Tým;Věk;Držení hole;Národnost;Výška (cm);Váha (kg);Zápasy;PPP;Body;Góly;Asistence;Ø TOI;+/-;TM;HITY;BLOKY;ÚSP. Vhazování
;Roman;Červenka;27/28;C;PCE;0;L;CZE;;;;;;;;;;;;;
;Hunter;Fejes;-;LW;PCE;0;L;USA;;;;;;;;;;;;;
;František;Formánek;27/28;RW;PCE;0;L;CZE;;;;;;;;;;;;;
;Daniel;Herčík;-;RW;PCE;0;P;CZE;;;;;;;;;;;;;
;Dominik;Hrníčko;-;RW;PCE;0;P;CZE;;;;;;;;;;;;;
;Robin;Kaplan;-;LW;PCE;0;L;CZE;;;;;;;;;;;;;
;Martin;Kaut;33/34;RW;PCE;0;P;CZE;;;;;;;;;;;;;
;Miloš;Kelemen;26/27;RW;PCE;0;L;SVK;;;;;;;;;;;;;
;Jáchym;Kondelík;29/30;C;PCE;0;L;CZE;;;;;;;;;;;;;
;Robert;Kousal;-;C;PCE;0;L;CZE;;;;;;;;;;;;;
;Jakub;Lauko;27/28;W;PCE;0;L;CZE;;;;;;;;;;;;;
;Jan;Mandát;27/28;C;PCE;0;L;CZE;;;;;;;;;;;;;
;Matěj;Pekař;-;C;PCE;0;L;CZE;;;;;;;;;;;;;
;Patrik;Poulíček;26/27;C;PCE;0;L;CZE;;;;;;;;;;;;;
;Lukáš;Sedlák;27/28;C;PCE;0;L;CZE;;;;;;;;;;;;;
;Jiří;Smejkal;28/29;LW;PCE;0;L;CZE;;;;;;;;;;;;;
;Vladimír;Sobotka;26/27;C;PCE;0;L;CZE;;;;;;;;;;;;;
;Tomáš;Vondráček;28/29;LW;PCE;0;L;CZE;;;;;;;;;;;;;
;Jakub;Jeřábek;26/27 ;O;PLZ;0;L;CZE;;;;;;;;;;;;;
;David ;Kvasnička;-;O;PLZ;0;L;CZE;;;;;;;;;;;;;
;Daniel;Malák;26/27;O;PLZ;0;L;CZE;;;;;;;;;;;;;
;Ville;Lajunen;-;O;PLZ;0;P;FIN;;;;;;;;;;;;;
;Igor;Merezhko;26/27;O;PLZ;0;P;UA;;;;;;;;;;;;;
;Stuart;Percy;-;O;PLZ;0;L;CAN;;;;;;;;;;;;;
;Kristians;Rubins;26/27;O;PLZ;0;L;LAT;;;;;;;;;;;;;
;Radim;Šalda;25/26 +1;O;PLZ;0;L;CZE;;;;;;;;;;;;;
;Petr ;Zámorský;-;O;PLZ;0;P;CZE;;;;;;;;;;;;;
;Matyáš;Filip;26/27;C;PLZ;0;L;CZE;;;;;;;;;;;;;
;Adrian;Holešinský;27/28;RW;PLZ;0;L;SVK;;;;;;;;;;;;;
;Christophe;Lalancette;-;C;PLZ;0;P;CAN;;;;;;;;;;;;;
;Jakub;Lev;-;C;PLZ;0;P;CZE;;;;;;;;;;;;;
;Adam;Měchura;26/27;C;PLZ;0;L;CZE;;;;;;;;;;;;;
;Mikko;Petman;-;RW;PLZ;0;P;FIN;;;;;;;;;;;;;
;Ville;Petman;-;C;PLZ;0;L;FIN;;;;;;;;;;;;;
;Ondřej ;Pšenička;26/27 +1;RW;PLZ;0;L;CZE;;;;;;;;;;;;;
;Ondřej ;Rohlík;-;LW;PLZ;0;L;CZE;;;;;;;;;;;;;
;Jan;Schleiss;27/28;RW;PLZ;0;P;CZE;;;;;;;;;;;;;
;Ivo;Sedláček;26/27;F;PLZ;0;P;CZE;;;;;;;;;;;;;
;Jakub;Šiler;-;F;PLZ;0;L;CZE;;;;;;;;;;;;;
;Dominik;Simon;27/28;C;PLZ;0;L;CZE;;;;;;;;;;;;;
;Marek;Soukup;-;F;PLZ;0;L;CZE;;;;;;;;;;;;;
;Lukáš;Strnad;26/27;RW;PLZ;0;L;CZE;;;;;;;;;;;;;
;Michal;Teplý;-;LW;PLZ;0;P;CZE;;;;;;;;;;;;;
;Jakub;Krejčík;26/27 +1;O;SPA;0;L;CZE;;;;;;;;;;;;;
;Dominik;Mašín;26/27;O;SPA;0;L;CZE;;;;;;;;;;;;;
;David;Němeček;26/27;O;SPA;0;L;CZE;;;;;;;;;;;;;
;Aaron;Irving;26/27;O;SPA;0;P;CAN;;;;;;;;;;;;;
;Jakub;Sirota;27/28;O;SPA;0;L;CZE;;;;;;;;;;;;;
;Dominik;Pavlák;-;O;SPA;0;L;CZE;;;;;;;;;;;;;
;Nino;Tomov;26/27;O;SPA;0;L;BUL;;;;;;;;;;;;;
;Niko;Seppälä;-;O;SPA;0;L;FIN;;;;;;;;;;;;;
;Mark;Pysyk;27/28;O;SPA;0;P;CAN;;;;;;;;;;;;;
;Mikael;Seppälä;-;O;SPA;0;L;FIN;;;;;;;;;;;;;
;Ronald;Knot;27/28;O;SPA;0;P;CZE;;;;;;;;;;;;;
;Michal;Řepík;-;RW;SPA;0;P;CZE;;;;;;;;;;;;;
;Filip;Chlapík;28/29;C;SPA;0;L;CZE;;;;;;;;;;;;;
;Martins;Dzierkals;-;LW;SPA;0;L;LAT;;;;;;;;;;;;;
;Roman;Horák;26/27;C;SPA;0;L;CZE;;;;;;;;;;;;;
;Ondřej;Hrabík;-;F;SPA;0;L;CZE;;;;;;;;;;;;;
;Tomáš;Hyka;26/27;RW;SPA;0;P;CZE;;;;;;;;;;;;;
;Pavel;Kousal;27/28;LW;SPA;0;L;CZE;;;;;;;;;;;;;
;Jani;Lajunen;-;C;SPA;0;L;FIN;;;;;;;;;;;;;
;Ondřej;Najman;26/27 +1;C;SPA;0;L;CZE;;;;;;;;;;;;;
;Adam;Raška;26/27;RW;SPA;0;P;CZE;;;;;;;;;;;;;
;Devin;Shore;27/28;C;SPA;0;L;CAN;;;;;;;;;;;;;
;Michael;Špaček;27/28;C;SPA;0;P;CZE;;;;;;;;;;;;;
;Petr;Ton;-;F;SPA;0;L;CZE;;;;;;;;;;;;;
;Kristian;Vesalainen;26/27;W;SPA;0;L;FIN;;;;;;;;;;;;;
;Michal;Vitouch;-;F;SPA;0;L;CZE;;;;;;;;;;;;;
;Jakub;Zmola;-;F;SPA;0;L;CZE;;;;;;;;;;;;;
;Jiří;Pospíšil;-;F;SPA;0;P;CZE;;;;;;;;;;;;;
;Marián;Adámek;-;O;TRI;0;P;CZE;;;;;;;;;;;;;
;Jakub;Galvas;27/28;O;TRI;0;L;CZE;;;;;;;;;;;;;
;Marek;Hrbas;-;O;TRI;0;L;CZE;;;;;;;;;;;;;
;Bohumil;Jank;26/27;O;TRI;0;L;CZE;;;;;;;;;;;;;
;Patrik;Koch;26/27;O;TRI;0;L;SVK;;;;;;;;;;;;;
;Tomáš;Kundrátek;-;O;TRI;0;P;CZE;;;;;;;;;;;;;
